ticker,cik,security_name,exchange,ETF,Test Issue,company_name,sec_exchange,biopharma_flag,biopharma_reason
IBO,1834105,"Impact BioMedical, Inc. Common Stock",A,N,N,IMPACT BIOMEDICAL INC.,NYSE,True,keyword_match
IBRX,0001326110,,,,,,,,
IDYA,1676725,"IDEAYA Biosciences, Inc. - Common Stock",NASDAQ,N,N,"IDEAYA Biosciences, Inc.",Nasdaq,True,keyword_match
IGC,1326205,"IGC Pharma, Inc. Common Stock",A,N,N,"IGC Pharma, Inc.",NYSE,True,keyword_match
IKT,1750149,"Inhibikase Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Inhibikase Therapeutics, Inc.",Nasdaq,True,keyword_match
IMA,1835579,"ImageneBio, Inc. - Common Stock",NASDAQ,N,N,"ImageneBio, Inc.",Nasdaq,True,keyword_match
IMMX,1873835,"Immix Biopharma, Inc. - Common Stock",NASDAQ,N,N,"Immix Biopharma, Inc.",Nasdaq,True,keyword_match
INAB,1740279,"IN8bio, Inc. - Common Stock",NASDAQ,N,N,"IN8BIO, INC.",Nasdaq,True,keyword_match
INBS,1725430,Intelligent Bio Solutions Inc.  - Common Stock,NASDAQ,N,N,INTELLIGENT BIO SOLUTIONS INC.,Nasdaq,True,keyword_match
INBX,2007919,"Inhibrx Biosciences, Inc. - Common Stock",NASDAQ,N,N,"Inhibrx Biosciences, Inc.",Nasdaq,True,keyword_match
INDP,1857044,"Indaptus Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"Indaptus Therapeutics, Inc.",Nasdaq,True,keyword_match
INKT,1840229,"MiNK Therapeutics, Inc. - Common Stock",NASDAQ,N,N,"MiNK Therapeutics, Inc.",Nasdaq,True,keyword_match
INM,1728328,InMed Pharmaceuticals Inc. - Common Shares,NASDAQ,N,N,InMed Pharmaceuticals Inc.,Nasdaq,True,keyword_match
INMB,1711754,INmune Bio Inc. - Common stock,NASDAQ,N,N,"Inmune Bio, Inc.",Nasdaq,True,keyword_match
